year,faction_type,total_power,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,factions_count
2020,ideological_network,0.845,0.0898,78.65,76.05,22.0,17.5,2
2021,institutional_network,7.108,0.723,66.65,65.02,7.5,6.39,5
2021,ideological_network,1.885,0.1918,66.65,63.27,9.0,8.57,2
2021,socioeconomic_network,0.8375,0.0852,77.03,75.77,22.5,19.72,1
2022,institutional_network,6.443,0.703,67.65,64.54,8.5,7.37,5
2022,ideological_network,1.885,0.2056,67.65,64.27,10.0,9.56,2
2022,socioeconomic_network,0.8375,0.0914,78.03,76.77,23.5,20.72,1
2023,institutional_network,6.443,0.703,68.65,65.54,9.49,8.37,5
2023,ideological_network,1.885,0.2056,68.65,65.27,10.99,10.56,2
2023,socioeconomic_network,0.8375,0.0914,79.03,77.77,24.5,21.72,1
2024,institutional_network,7.108,0.723,66.66,65.22,9.7,8.64,5
2024,ideological_network,1.885,0.1918,69.65,66.27,12.0,11.57,2
2024,socioeconomic_network,0.8375,0.0852,80.03,78.77,25.5,22.72,1
2025,institutional_network,3.964,0.6415,64.79,65.3,9.25,10.3,4
2025,ideological_network,0.845,0.1367,83.65,81.05,27.0,22.5,2
2025,socioeconomic_network,0.8375,0.1355,81.03,79.77,26.5,23.72,1
2025,party,0.533,0.0863,54.1,54.1,0.5,0.5,1
2026,institutional_network,3.18,0.7235,63.25,64.55,10.83,11.98,3
2026,party,0.533,0.1213,55.09,55.09,1.49,1.49,1
2026,socioeconomic_network,0.3575,0.0813,90.67,90.67,46.5,46.5,1
2026,ideological_network,0.325,0.0739,95.89,95.89,47.5,47.5,1
