year,faction_id,faction_name_ru,members_count,total_faction_power,raw_power_share,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,mean_elite_age,share_60_plus,share_70_plus
1904,imp_dynastic_court,Династический двор,1,1.0,0.3922,0.5128,36.12,36.12,9.66,9.66,9.66,0.0,0.0
1904,imp_church_synod,Церковно-синодальный контур,1,0.475,0.1863,0.2436,77.11,77.11,44.5,44.5,24.18,1.0,1.0
1904,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.1863,0.2436,77.11,77.11,44.5,44.5,24.18,1.0,1.0
1905,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.5128,37.12,37.12,10.66,10.66,10.66,0.0,0.0
1905,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.2436,78.11,78.11,45.5,45.5,25.18,1.0,1.0
1905,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.2436,78.11,78.11,45.5,45.5,25.18,1.0,1.0
1906,imp_dynastic_court,Династический двор,1,1.0,0.6452,1.0,38.12,38.12,11.66,11.66,11.66,0.0,0.0
1907,imp_dynastic_court,Династический двор,1,1.0,0.4444,0.3883,39.12,39.12,12.66,12.66,12.66,0.0,0.0
1907,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.595,0.2644,0.2311,45.21,45.21,18.49,18.49,0.98,0.0,0.0
1907,imp_security_police,Охранно-полицейский аппарат,1,0.525,0.2333,0.2039,45.21,45.21,18.49,18.49,0.98,0.0,0.0
1907,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.455,0.2022,0.1767,45.21,45.21,18.49,18.49,0.98,0.0,0.0
1908,imp_dynastic_court,Династический двор,1,1.0,0.4444,0.3883,40.12,40.12,13.66,13.66,13.66,0.0,0.0
1908,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.595,0.2644,0.2311,46.21,46.21,19.49,19.49,1.98,0.0,0.0
1908,imp_security_police,Охранно-полицейский аппарат,1,0.525,0.2333,0.2039,46.21,46.21,19.49,19.49,1.98,0.0,0.0
1908,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.455,0.2022,0.1767,46.21,46.21,19.49,19.49,1.98,0.0,0.0
1909,imp_dynastic_court,Династический двор,1,1.0,0.4444,0.3883,41.12,41.12,14.66,14.66,14.66,0.0,0.0
1909,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.595,0.2644,0.2311,47.21,47.21,20.49,20.49,2.98,0.0,0.0
1909,imp_security_police,Охранно-полицейский аппарат,1,0.525,0.2333,0.2039,47.21,47.21,20.49,20.49,2.98,0.0,0.0
1909,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.455,0.2022,0.1767,47.21,47.21,20.49,20.49,2.98,0.0,0.0
1910,imp_dynastic_court,Династический двор,1,1.0,0.4444,0.3883,42.12,42.12,15.66,15.66,15.66,0.0,0.0
1910,imp_bureaucratic_reformers,Бюрократические реформаторы,1,0.595,0.2644,0.2311,48.21,48.21,21.49,21.49,3.98,0.0,0.0
1910,imp_security_police,Охранно-полицейский аппарат,1,0.525,0.2333,0.2039,48.21,48.21,21.49,21.49,3.98,0.0,0.0
1910,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.455,0.2022,0.1767,48.21,48.21,21.49,21.49,3.98,0.0,0.0
